MOF,kh_co2,kh_n2,kh_sel,pq_co2,pq_n2,iast_b_co2,iast_b_n2,iast_b_sel,t_sel_co2/n2,t_sel_co2/h2o,t_sel_n2/h2o,water_resistance
RSM4556,2.22E-05,3.76E-06,5.904255319,2.168754641,0.379169572,0.075218129,0.312098049,5.337881049,5.350529182,0.765600436,0.143088732,0.927847763
RSM4560,3.74E-05,3.84E-06,9.739583333,3.617698045,0.384996224,0.119112107,0.314024323,8.400981696,11.09294957,0.0104196,0.000939299,0.81474606
RSM4564,0.000131877,1.58E-06,83.4664557,0.896662289,0.128833186,0.226567191,0.073936039,67.87006458,34.23540566,0.039916352,0.001165938,0.333095548
RSM4565,0.000142328,2.21E-06,64.40180995,0.937494742,0.178858592,0.222794913,0.095127636,51.87235713,30.14864304,0.063923842,0.002120289,0.388836998
RSM4579,5.39E-05,4.82E-06,11.18257261,3.766863316,0.480154931,0.161072196,0.378850352,9.416517196,9.813915556,0.854930547,0.087114113,0.934206782
RSM4599,0.000132111,3.22E-06,41.02826087,2.520290779,0.27650166,0.267549281,0.189280638,31.30653597,26.94078612,1.347161846,0.050004548,0.754398248
RSM4602,7.62E-05,2.25E-06,33.86666667,2.365809969,0.225706729,0.181607548,0.169234425,23.76745093,15.54016433,0.015127234,0.000973428,0.346196792
str_m2_o1_o17_pcu_sym.129,9.78E-05,5.43E-06,18.01104972,3.231290536,0.463528566,0.245111344,0.336554205,16.13042497,16.58384535,2.027264434,0.122243327,0.929194874
str_m2_o1_o19_pcu_sym.61,4.32E-05,3.48E-06,12.4137931,3.162720633,0.331848363,0.116091575,0.243087064,10.57733537,11.49886336,0.656357109,0.057080173,0.916165955
str_m2_o1_o9_pcu_sym.185,8.31E-05,3.87E-06,21.47286822,2.434971532,0.326759117,0.209324334,0.239012672,19.39707348,21.58366917,0.29969296,0.013885172,0.807694593
str_m2_o10_o14_pcu_sym.22,0.000274224,3.20E-06,85.695,2.934686598,0.273335249,0.5152416,0.168177182,67.85490823,37.61648198,2.359172734,0.062716464,0.886220759
str_m2_o10_o26_pcu_sym.188,0.000382021,7.87E-06,48.54142313,4.940646824,0.65885474,0.736887871,0.421625431,38.70900697,38.99437067,4.367806576,0.112011208,0.886935722
str_m2_o10_o28_pcu_sym.57,0.000224787,7.81E-06,28.78194622,4.232984096,0.619140496,0.403578727,0.399311594,22.38482825,23.47264722,0.970140436,0.041330679,0.87575916
str_m2_o10_o28_pcu_sym.58,0.000410574,3.33E-06,123.2954955,3.517760087,0.288859857,0.615525711,0.159617694,85.40879301,33.65742005,1.791392151,0.053224286,0.840456311
str_m2_o10_o29_pcu_sym.193,0.000356149,9.30E-06,38.2955914,3.961757584,0.709543707,0.612471116,0.428303816,31.67167909,30.67675595,0.059023618,0.00192405,0.304044999
str_m2_o10_o29_pcu_sym.238,0.000253656,7.00E-06,36.23657143,3.382124117,0.543644896,0.441225926,0.33643873,29.0464097,34.41955534,0.230073924,0.006684396,0.702085736
str_m2_o10_o29_pcu_sym.38,0.000258362,4.09E-06,63.16919315,3.564789347,0.346322305,0.495093872,0.209953583,52.22779362,31.39376495,0.154096004,0.004908491,0.576442716
str_m2_o10_o29_pcu_sym.64,0.000455541,8.19E-06,55.62161172,4.879207478,0.686880916,0.794641049,0.397078819,44.32325985,44.16709705,0.614591149,0.013915136,0.747419198
str_m2_o10_o29_pcu_sym.82,0.000543258,1.19E-05,45.65193277,3.929827178,0.822005419,0.66803718,0.448035624,33.02368299,33.34136041,2.014942218,0.060433713,0.834070611
str_m2_o13_o22_pcu_sym.93,5.23E-05,3.22E-06,16.24223602,2.800755842,0.306780427,0.137600245,0.223450538,13.63877048,14.51975279,0.516877402,0.035598223,0.883707611
str_m2_o14_o14_pcu_sym.48,0.000275467,8.30E-06,33.18879518,3.485426483,0.637362902,0.51432591,0.394341057,28.88709214,37.01951699,0.036787332,0.000993728,0.204771371
str_m2_o14_o17_pcu_sym.222,0.000118418,4.45E-06,26.61078652,2.737763145,0.352723541,0.26592423,0.245328536,24.00751796,25.76575012,0.260924365,0.010126791,0.758333828
str_m2_o14_o22_pcu_sym.121,0.000231144,5.87E-06,39.37717206,4.008104803,0.508320855,0.500632912,0.334008082,33.19707669,34.30415285,1.969813091,0.057422001,0.923184224
