MOF,kh_co2,kh_n2,kh_sel,pq_co2,pq_n2,iast_b_co2,iast_b_n2,iast_b_sel,t_sel_co2/n2,t_sel_co2/h2o,t_sel_n2/h2o,water_resistance
RSM0457,0.0001781,1.32E-06,134.9242424,2.758014061,0.127600379,0.831233712,0.05524866,83.87196586,44.636208,0.000346424,7.76E-06,0.005891372
RSM0458,0.000266925,5.72E-06,46.66520979,3.174341202,0.470709784,1.256676828,0.183556175,38.16541846,91.26927372,0.001280051,1.40E-05,0.012958456
RSM0460,0.000516583,5.06E-06,102.091502,2.63045304,0.427130774,1.917282664,0.102532212,104.2416414,60.24895924,0.000162353,2.69E-06,0.000810655
RSM0462,0.264378,1.74E-06,151941.3793,1.389100149,0.171463218,1.387859785,0.003249863,2380.652352,390.602951,6.30E-05,1.61E-07,0.000288031
RSM0464,0.000428545,4.39E-06,97.61845103,4.944200264,0.400300636,1.84446327,0.145921374,70.46387507,124.0605102,0.000953648,7.69E-06,0.011164973
RSM0473,0.000541987,7.57E-06,71.59669749,5.219924237,0.644281029,2.306399843,0.221975629,57.92215694,86.17485083,0.000120779,1.40E-06,0.001092874
RSM0478,0.000187529,2.19E-06,85.62968037,3.658139375,0.207329518,1.188860317,0.080944483,81.87644857,135.2574522,0.003381608,2.50E-05,0.037508287
RSM0486,8.31E-05,4.64E-07,179.0948276,2.359103868,0.044232003,0.527415264,0.022879746,128.5040809,98.14173644,6.98E-06,7.11E-08,0.00018486
RSM0488,0.000194516,8.80E-06,22.10409091,6.24721237,0.783209235,1.623805031,0.440828557,20.53428491,67.04305984,0.002813274,4.20E-05,0.0484745
RSM0492,0.00209477,2.25E-05,93.10088889,5.45815993,1.542581849,4.23080962,0.26165162,90.13956873,105.3368174,0.151186202,0.001435265,0.304755287
RSM0493,0.000563582,2.90E-06,194.3386207,1.597767059,0.207609158,0.989377602,0.03564778,154.7194854,68.42422706,0.000274863,4.02E-06,0.002379137
RSM0494,0.000195279,7.31E-06,26.71395349,4.72762846,0.624058611,1.340985408,0.304493993,24.55052277,87.6266257,0.000901449,1.03E-05,0.013861102
RSM0496,0.0002086,3.11E-06,67.07395498,3.111149609,0.27653005,1.171499158,0.116124017,56.23870996,72.49867756,0.000608723,8.40E-06,0.007066003
RSM0497,0.00185318,1.92E-06,965.1979167,3.488809325,0.192108964,2.469142973,0.018640675,738.414173,614.7517025,8.45E-05,1.37E-07,0.000507871
RSM0498,0.014187,1.64E-05,865.0609756,6.835423758,1.217139102,5.868061092,0.063961484,511.4362626,182.0739063,0.000504345,2.77E-06,0.002598369
RSM0505,3.99E-05,2.32E-06,17.19827586,2.187233943,0.208526609,0.375133731,0.131883288,15.85666216,22.70721486,0.01445012,0.000636367,0.291747228
RSM0508,0.000242844,1.51E-06,160.8238411,1.54119934,0.143145247,0.899354907,0.038938484,128.7560056,93.77738942,0.002301987,2.45E-05,0.019703236
RSM0516,0.000683622,1.60E-05,42.726375,10.38458065,1.34241941,6.160826674,0.525885477,65.30752637,797.3888828,0.000520915,6.53E-07,0.002676957
RSM0532,0.00149096,2.37E-06,629.0970464,2.848310891,0.223003974,2.354014973,0.023394775,560.926245,558.2581891,0.000251547,4.51E-07,0.001454353
RSM0534,4.21E-05,1.12E-06,37.58928571,2.855915392,0.10560877,0.394185429,0.071234462,30.84791658,41.33356219,0.004120832,9.97E-05,0.17254524
RSM0537,7.31E-05,4.92E-06,14.85772358,7.016984568,0.466127853,0.808360115,0.310451617,14.51531189,19.84223567,0.017252563,0.000869487,0.420185099
RSM0544,0.00167515,3.44E-06,486.9622093,4.815602104,0.317949033,2.544009239,0.058411961,242.7908525,192.6152636,0.001350115,7.01E-06,0.00742867
RSM0545,0.000121078,2.40E-06,50.44916667,1.690231817,0.197329377,0.586128344,0.078509181,41.61862208,386.560349,0.002210834,5.72E-06,0.036542932
RSM0549,6.09E-05,3.01E-07,202.3255814,1.220961585,0.028846375,0.415088442,0.013059918,177.1803705,156.871618,4.86E-05,3.10E-07,0.001250215
RSM0551,4.44E-05,8.23E-07,53.94896719,0.749795659,0.078748056,0.289739319,0.035369153,45.66654995,79.44561088,0.010140654,0.000127643,0.093965399
RSM0557,0.000676318,1.30E-05,52.02446154,3.888822988,0.947528786,2.140871313,0.264786346,45.07237024,57.10751441,0.18816563,0.003294936,0.495858256
RSM0568,0.000133352,4.65E-06,28.67784946,3.217382413,0.371154639,1.006437793,0.186434469,30.09373886,75.05412525,0.000122339,1.63E-06,0.001470875
RSM0572,1.52E-05,1.42E-06,10.70422535,0.827749654,0.131164564,0.131915942,0.078683357,9.346087121,9.556894726,15.28128959,1.598980635,0.896992652
RSM0573,0.00516178,4.13E-06,1249.825666,2.606995208,0.350033797,2.485802662,0.010050858,1378.729019,297.2913522,0.000383839,1.29E-06,0.00183614
RSM0576,1.57E-05,1.07E-06,14.6728972,1.519755795,0.102284605,0.16694235,0.071177301,13.07496189,84.09797356,0.000122703,1.46E-06,0.011645861
RSM0583,0.00072805,2.20E-06,330.9318182,1.868646551,0.199369425,1.34367166,0.030757207,243.5351666,64.84063735,0.000716636,1.11E-05,0.005622232
RSM0588,7.00E-05,4.47E-06,15.65995526,4.447966563,0.423045604,0.650783867,0.267584413,13.55786756,45.71216663,0.001507918,3.30E-05,0.080020819
RSM0594,0.00233908,3.32E-06,704.5421687,2.026500829,0.284861902,1.674744047,0.018605744,501.7840275,79.12200466,0.00029176,3.69E-06,0.002333467
RSM0602,6.90E-05,5.07E-06,13.60946746,4.534728122,0.464872267,0.688020505,0.293506158,13.06771292,17.28473453,0.037247612,0.002154943,0.570994085
RSM0604,5.53E-05,3.74E-06,14.78609626,3.890310127,0.342007837,0.58512094,0.219382922,14.86819493,81.37592616,0.000869884,1.07E-05,0.029985724
RSM0622,0.000898081,4.28E-06,209.8320093,2.168963912,0.340789305,1.68132898,0.042873394,218.6151476,100.8507423,0.000231012,2.29E-06,0.001273858
RSM0624,4.32E-05,4.03E-06,10.71960298,4.565015475,0.382457291,0.481732325,0.260601785,10.30490099,13.81732644,0.008925071,0.000645933,0.438232811
RSM0628,5.90E-05,3.04E-06,19.40789474,5.623663387,0.288864754,0.612642373,0.193981828,17.6060287,125.0813822,0.000125042,1.00E-06,0.00644833
RSM0631,5.91E-05,3.73E-06,15.84450402,4.096846167,0.340418344,0.637663388,0.220228938,16.14107733,88.75508732,0.00060824,6.85E-06,0.019400808
RSM0632,1.06E-05,2.51E-07,42.2310757,0.720498625,0.024753965,0.098187108,0.015659923,34.95266294,5.574654042,6.06E-07,1.09E-07,4.01E-05
RSM0633,0.000107369,1.86E-06,57.72526882,3.622808107,0.175587844,0.889142689,0.098797144,50.16981419,62.26463529,0.123319288,0.001980567,0.653292324
RSM0634,0.000887889,6.65E-06,133.5171429,3.998686713,0.590749089,2.246578462,0.146324795,85.58922368,118.3974872,0.002791508,2.36E-05,0.020922535
RSM0637,6.52E-05,2.80E-06,23.28571429,1.794971174,0.23273896,0.475032686,0.127177947,20.82222359,106.1415245,0.000252924,2.38E-06,0.006900701
RSM0641,2.93E-05,9.46E-07,30.97251586,0.966562896,0.082439237,0.238508044,0.046441395,28.62946248,40.42757247,0.020751351,0.000513297,0.262897422
RSM0644,0.000106618,3.48E-06,30.63735632,2.813570864,0.309243231,0.756418442,0.162779274,25.90469144,43.92121636,0.000962186,2.19E-05,0.022083744
RSM0645,2.62E-05,7.65E-07,34.24836601,0.792321106,0.072774976,0.209891384,0.037519098,31.18585393,42.90351813,0.013216236,0.000308046,0.171069944
RSM0647,7.06E-05,4.42E-06,15.97285068,5.842334435,0.416591238,0.762487175,0.279317216,15.21774349,23.11524667,0.004683777,0.000202627,0.161794513
